date,region,deaths
2020-03-09 18:00:00,Valle d'Aosta,0
2020-03-09 18:00:00,Veneto,20
2020-03-10 18:00:00,Abruzzo,1
2020-03-10 18:00:00,Basilicata,0
2020-03-10 18:00:00,Calabria,0
2020-03-10 18:00:00,Campania,0
2020-03-10 18:00:00,Emilia-Romagna,85
2020-03-10 18:00:00,Friuli Venezia Giulia,3
2020-03-10 18:00:00,Lazio,6
2020-03-10 18:00:00,Liguria,8
2020-03-10 18:00:00,Lombardia,468
2020-03-10 18:00:00,Marche,13
2020-03-10 18:00:00,Molise,0
2020-03-10 18:00:00,P.A. Bolzano,0
2020-03-10 18:00:00,P.A. Trento,0
2020-03-10 18:00:00,Piemonte,17
2020-03-10 18:00:00,Puglia,3
2020-03-10 18:00:00,Sardegna,0
2020-03-10 18:00:00,Sicilia,0
2020-03-10 18:00:00,Toscana,1
2020-03-10 18:00:00,Umbria,0
2020-03-10 18:00:00,Valle d'Aosta,0
2020-03-10 18:00:00,Veneto,26
2020-03-11 17:00:00,Abruzzo,1
2020-03-11 17:00:00,Basilicata,0
2020-03-11 17:00:00,Calabria,0
2020-03-11 17:00:00,Campania,1
2020-03-11 17:00:00,Emilia-Romagna,113
2020-03-11 17:00:00,Friuli Venezia Giulia,6
2020-03-11 17:00:00,Lazio,6
2020-03-11 17:00:00,Liguria,8
2020-03-11 17:00:00,Lombardia,617
2020-03-11 17:00:00,Marche,18
2020-03-11 17:00:00,Molise,0
2020-03-11 17:00:00,P.A. Bolzano,0
2020-03-11 17:00:00,P.A. Trento,0
2020-03-11 17:00:00,Piemonte,21
2020-03-11 17:00:00,Puglia,5
2020-03-11 17:00:00,Sardegna,0
2020-03-11 17:00:00,Sicilia,0
2020-03-11 17:00:00,Toscana,1
2020-03-11 17:00:00,Umbria,0
2020-03-11 17:00:00,Valle d'Aosta,1
2020-03-11 17:00:00,Veneto,29
2020-03-12 17:00:00,Abruzzo,2
2020-03-12 17:00:00,Basilicata,0
2020-03-12 17:00:00,Calabria,0
2020-03-12 17:00:00,Campania,1
2020-03-12 17:00:00,Emilia-Romagna,146
2020-03-12 17:00:00,Friuli Venezia Giulia,8
2020-03-12 17:00:00,Lazio,9
2020-03-12 17:00:00,Liguria,11
2020-03-12 17:00:00,Lombardia,744
2020-03-12 17:00:00,Marche,22
2020-03-12 17:00:00,Molise,0
2020-03-12 17:00:00,P.A. Bolzano,1
2020-03-12 17:00:00,P.A. Trento,1
2020-03-12 17:00:00,Piemonte,26
2020-03-12 17:00:00,Puglia,5
2020-03-12 17:00:00,Sardegna,0
2020-03-12 17:00:00,Sicilia,2
2020-03-12 17:00:00,Toscana,5
2020-03-12 17:00:00,Umbria,0
2020-03-12 17:00:00,Valle d'Aosta,1
2020-03-12 17:00:00,Veneto,32
2020-03-13 17:00:00,Abruzzo,2
2020-03-13 17:00:00,Basilicata,0
2020-03-13 17:00:00,Calabria,0
2020-03-13 17:00:00,Campania,2
2020-03-13 17:00:00,Emilia-Romagna,201
2020-03-13 17:00:00,Friuli Venezia Giulia,10
2020-03-13 17:00:00,Lazio,11
